Title,Genre,Rating IMDB,Rating TOMATO,Age Rating,Production Country,OTT
스타워즈: 스켈레톤 크루 (2024),"액션, SF",7.2,91.0,12,미국,Disney+
에이리언: 로물루스 (2024),"스릴러, 공포, SF",7.1,79.0,15,"캐나다, 영국, 미국, 헝가리, 호주, 뉴질랜드",Disney+
쇼군 (2024),"드라마, 전쟁, 역사",8.6,99.0,19,미국,Disney+
잔혹한 침묵 (2024),"범죄, 드라마, 역사, 스릴러",8.3,93.0,15,미국,Disney+
트래커 (2024),"드라마, 범죄",7.1,89.0,전체 이용가,미국,Disney+
BEOMJOEDOSI4 (2024),"액션, 범죄, 스릴러, 코미디, 드라마",6.6,91.0,15,대한민국,Disney+
영어 선생님 (2024),코미디,7.4,98.0,전체 이용가,미국,Disney+
데드풀과 울버린 (2024),"액션, 코미디, SF",7.6,78.0,전체 이용가,미국,Disney+
킬러들의 쇼핑몰 (2024),"범죄, 드라마, 액션, 스릴러",8.0,100.0,19,대한민국,Disney+
인사이드 아웃 2 (2024),"코미디, 가족, 애니메이션, 액션, 드라마, 판타지",7.6,91.0,전체 이용가,미국,Disney+
전부 애거사 짓이야 (2024),"SF, 코미디, 드라마, 판타지, 액션",7.2,84.0,12,미국,Disney+
드림 프로덕션 (2024),"애니메이션, 코미디, 드라마, 가족, 판타지",7.6,75.0,ALL,미국,Disney+
카인즈 오브 카인드니스 (2024),"드라마, 코미디, 공포",6.5,71.0,전체 이용가,"미국, 아일랜드, 영국",Disney+
그로테스크 (2024),"범죄, 드라마, 공포, 스릴러",6.1,75.0,19,미국,Disney+
아메리칸 스포츠 스토리 (2024),"드라마, 스포츠",7.2,74.0,전체 이용가,미국,Disney+
오멘: 저주의 시작 (2024),공포,6.5,83.0,15,미국,Disney+
인테리어 차이나타운 (2024),"범죄, 코미디, 드라마",7.1,87.0,15,미국,Disney+
"안녕, 내 뻐끔거리는 단어들 (2024)",드라마,7.4,100.0,전체 이용가,미국,Disney+
비틀즈 '64 (2024),"음악, 다큐멘터리",7.2,95.0,전체 이용가,"영국, 미국",Disney+
언더 더 브릿지 (2024),"범죄, 드라마, 스릴러",7.2,86.0,전체 이용가,미국,Disney+
혹성탈출: 새로운 시대 (2024),"액션, SF, 드라마, 스릴러",6.9,80.0,전체 이용가,미국,Disney+
닥터 후 (2024),"SF, 드라마",6.2,93.0,12,영국,Disney+
셰클턴 선박 미스터리 (2024),다큐멘터리,7.5,70.0,전체 이용가,"미국, 영국",Disney+
슈거케인 (2024),다큐멘터리,7.2,100.0,15,"미국, 캐나다",Disney+
엑스맨 '97 (2024),"애니메이션, 액션, SF, 판타지",8.8,99.0,12,미국,Disney+
여인과 바다 (2024),"드라마, 로맨스, 스포츠",7.5,88.0,전체 이용가,"영국, 프랑스, 미국, 헝가리, 이탈리아",Disney+
행운은 우리에게 (2024),"역사, 전쟁, 드라마",7.7,93.0,전체 이용가,미국,Disney+
우리 가족 마법사 리부트 (2024),"코미디, SF, 가족, 판타지, 드라마",6.4,100.0,전체 이용가,미국,Disney+
레고 스타워즈: 리빌드 더 갤럭시 (2024),"SF, 코미디, 액션, 애니메이션, 가족, 판타지",7.2,100.0,ALL,미국,Disney+
엘튼 존: 네버 투 레이트 (2024),"다큐멘터리, 음악",7.0,76.0,15,"영국, 미국",Disney+
거장 존 윌리엄스 (2024),"다큐멘터리, 음악",8.2,100.0,전체 이용가,미국,Disney+
라 마키나 (2024),"코미디, 드라마, 스포츠",6.8,90.0,15,미국,Disney+
혼자 조용히 죽을게 (2024),코미디,6.9,91.0,15,미국,Disney+
레니게이드 넬 (2024),"액션, SF, 코미디, 범죄, 드라마, 판타지, 역사",7.4,87.0,15,영국,Disney+
"땡큐, 굿 나잇 - 본 조비 스토리 (2024)","음악, 다큐멘터리",7.6,67.0,15,미국,Disney+
로드 다이어리: E 스트리트 밴드 (2024),"다큐멘터리, 음악",7.7,90.0,전체 이용가,미국,Disney+
에코 (2024),"액션, 범죄, 드라마, SF",6.0,70.0,15,미국,Disney+
짐 헨슨: 아이디어 맨 (2024),다큐멘터리,7.7,100.0,전체 이용가,미국,Disney+
다이앤 본 퍼스탠버그: 모든 여성을 위하여 (2024),다큐멘터리,7.2,81.0,15,미국,Disney+
클리퍼스: 역사상 최악의 프랜차이즈 (2024),"드라마, 스포츠",6.5,88.0,19,미국,Disney+
스타워즈: 제국 이야기 (2024),"판타지, SF, 애니메이션, 액션, 드라마",7.0,88.0,12,미국,Disney+
슈프림스 (2024),"코미디, 드라마",6.4,67.0,15,미국,Disney+
썬코스트 (2024),"드라마, 코미디",6.7,77.0,15,미국,Disney+
문어의 비밀 (2024),다큐멘터리,8.3,100.0,전체 이용가,"호주, 미국",Disney+
비치 보이스 (2024),"다큐멘터리, 음악",7.1,89.0,15,미국,Disney+
이와주 (2024),"드라마, 가족, SF, 애니메이션, 액션, 코미디",7.2,100.0,12,"미국, 영국",Disney+
